Asia-Afrika	아시아-아프리카
besek [bésék]	(뚜껑이 있는)작은 바구니, 광주리
besel [bésél], uang suap	뇌물
besengek [béséngék]	닭고기 카레요리
beser [bésér]	실금의, 오줌을 질금질금 싸는
besero [béséro], sero	주식, 주주
beset [bését], membeset	(짐승의)가죽을 벗기다, (과일의)껍질을 벗기다
besi wesi	철(금속 원소, 기호
produk besi-baja	철강 제품
beskat, besket	조끼, 속옷
beskit	쿠키(비스킷 류), 롤빵
beslah, pembeslahan	압류, 압수, 몰수, 징발
beslit	법령, 포고, 명령
besok [bésok]	내일
besok lusa	모레
besot	문지르다, 할퀴다, 긁다
bestari	숙달자, 전문가, 숙련가, 달인, 명인
bestek	상술, 상기(詳記), 열거, 명세, 내역
bestel	명령, 지휘, 주문, 지시
bestik	두껍게 저민 쇠 고깃점, 비프스테이크
bestir	관리, 경영, 지배, 행정, 통치
bestral	(빛,열 등의) 방사, 복사, 복사선, 복사 에너지
besuk	(사교,용건,관광 등을 위해) 방문하다
besusu	식용 괴경(뿌리)
besut [1], membesut	재련하다, 수리하다
besut [2], membesut	(피 또는 물을)뿌리다, 뿜다
aku, beta [béta], hamba, saya	[주격]나, 저(1인칭 비어)
Buku itu punya beta	(이 책은 제 것입니다)
betah, tahan	참다, 견디다, 순응하다, 적응하다
membetah-betahkan	참다, 견디다
betahak	트림하다
betak-betak [1], cabik-cabik	(옷차림 따위가)초라한, 볼품 없는
betak-betak [2], betik	(피부의)붉은 반점
betapa	(감탄문) 얼마나, ~처럼, 아아!
	(보라 어떻게 작은 불이 어떻게 많은 나무를 태우는가 약
	(그 사람은 아들을 다시 만났으니 얼마나 기쁘겠는가!)
	(그의 어머니가 그 소식을 들으면 얼마나 오죽 기쁘겠나!)
batara, batara	신, 신이나 왕에 대한 존칭
betari, batari	여신, 여신에 대한 호칭
betas	(옷 따위가) 찢어진, (계란이)깨진
Betawi, Batavia	바타비아(자카르타의 옛이름)
betel	끌, 조각 칼, (조각용) 정
betet [bétét]	잉꼬, 작은 앵무새
betik [1]	붉은 반점
betik-betik	여드름, 구진(丘疹), 뾰루지
betik [2], terbetik	발표 된, 공고 된, 전해 진
betina	암컷(동물)
beting, arungan	얕은 곳, 여울목, 모래톱
betis	장딴지, (사슴·코끼리·고래 따위의) 새끼
Betisnya bagai perut pati	(장딴지가 벼의 배와 같다-장딴지가 예쁨)
betok [1]	버들붕어, 버들치
betok [2], betuk	부식된, 식각된
beton	콘크리이트
betot, membetot	끄집어 내다, 끌어내다
kebetot	문득 와락 붙잡다
betuah	증거, 증명
betul, benar	정확한, 바른, 정말
berbetulan	일치하다, 동시에 일어나다, 겹치다
berkebetulan	우연히 일치하다
betulan	정밀하게, 엄밀히, 틀림없이
betul-betul	참으로, 진실로, 성실하게, 충심으로
betul-betulan	진실의, 진짜의, 현실의, 실제의
kebetulan	우연한, 우발적인, 뜻밖의
kejadian kebetulan	우연한 일
membetuli	수선하다, 정정하다, ~을 목표로 삼고 나가다
membetulkan	고치다, 바르게 하다, 수선하다, 바로 잡다
pembetulan	수선, 개량, 개선, 정정, 수정
sebetulnya	실제(로)는, 사실은
secara kebetulan	우연히도
betung	큰 대나무
betutu	뼈를 발라 낸 고기
bewok [béwok]	구레나룻의 털
berbewok	털이 많은, 텁수룩한
bia, bea	세금
BI (Bank Indonesia)	인도네시아 중앙 은행
biadab	거칠은, 미개한
kebiadaban	야만, 미개, 무지, 건방짐, 뻔뻔함
biak [1]	비옥한, 기름진
berbiak	늘리다, 증가시키다, 번식시키다
biak dara	단성 생식, 처녀 생식
biakan	양육, 기름, 재배된, 길러 진
membiak	번영하다, 번성하다, 증가하다
membiakkan	기르다, 양육하다
memmah biak	되씹다, 숙고하다, 되새김질 하다
pembiakan	번식, 양식(養殖), 양육, 재배
pembiakan dalam air	수경(水耕)재배
Pemberantasan buta huruf berbiak	(문명퇴치 운동이 활발하다)
biak [2], basah	젖은
biang [1]	어미(동, 식물), 기원, 원천
biang [2]	거의 뚫린, 거의 끝난 위기
biang [3], biang-buit	비틀다, 돌리다
biang-biang	청어
bianglala, perangi	무지개
biaperi	상인, 무역인, 무역상
biar, biarlah	내버려 두라, ~하도록
membiarkan	허락하다, 묵인하다, 보존하다
biar begitu	그럼에도 불구하고, 여전히, 역시
Beri makan banyak, biar lekas besar	(빨리 자라도록 밥을 많이 줘라)
Biar dia menangis, itu tidak apa	(그를 울게 내버려 두라, 괜찮다)
Biar kecil ia berani	(그는 작아도 용감하다)
Biar mahal, biar murah belilah	(비싸든지 싸는지 하라)
Biar mati daripada kalah	(지는 것보다 죽는 게 낫다)
Biar puti tulang jangan puti mata	(치욕보다 죽는 게 낫다)
Biar saya pergi sekarang	(지금 가게 해 주세요)
Junurlah dudu, biar kering	(마르도록 햇볓을 씌여라)
Kalau mau datang biarlah	(오려거든 와라)
biar-biar	회충(뱃속의 작은 기생충)
biara	수도원
biarawan	수도사, 수사(修士)
biarawati	수녀
bias, pembiasan	광선 굴절(작용), 굴사(屈射)
biasa	보통의, 평범한, 익숙한
biasa-biasa saja	그저 그런
biasanya	때때로(50%)
bila-bila	때때로, 종종
kebiasaan, pola	습관, 버릇, 습성
membiasakan	보통으로 만들다, 습관적으로 하다
pembiasa	습관적인 사람(것)
terbiasa	타성에 젖다
biawak	도마뱀, 도마뱀 가죽
biaya, biyaya, pembiaya	비용, 경비, 예산
bibi, bibik, tante	숙모, 아주머니
bibir	입술
Bibirnya bagai delima merkah	(입술이 잘 익은 석류와 같다-입술이 예쁨)
bibit [1]	씨, 종자 미생물, 정액, 묘목
bibit [2]	장차의, 후보자, 미래의
Ia bibit guru	(그는 선생 지망자이다)
bibit [3], membibit, bimbit	손에 들고가다, 들다
bibit [4]	햇병아리, 풋내기
bibliograf	서적 해제자(解題者), 서지학자, 목록 편찬자
bibliografi, biliograpi	서지학(書誌學), 서적 해제(解題)
bibliografis	서지(書誌)의, 도서 목록의
bibliotek [biblioték], perpustakaan	도서관
bicana, tanah bicana	조국
bicara	말, 이야기
bercerita, berbicara	이야기하다, 말하다
membicarakan	숙의하다, 토의하다
budi bicara	상식, 지능, 생각
pembicara	강연자, 연설자, 변사(辯士), 조언자, 충고자
pembicaraan	토의, 숙의, 회화
Mau bicara dengan Mr Kim (Mr	Kim과 통화하고 싶습니다) --일반
bicocok	작은 악어, 악한, 치한
bicu, bicu-bicu, tuil	나사식 잭
bidah, bidaah [1]	이교, 이단
bidah, bidaah [2]	거짓말, 허언
bidadara, dewi	(작은) 요정(妖精), (고어) 도깨비
bidadari	요정(妖精), 아름다운 여자
bidai	격자 세공, 고들(버리)세공
bidak [1], pion	(체스의) 졸(卒)
bidak [2]	전당, 전당물, 저당물, 볼모, 인질
bidal [1]	골무(바느질용)
bidal [2]	속담, 격언, 금언(金言)
bidam	멍이 든
bidan	조산사, 산파
kebidanan	조산술, 산과학(學)
bidang [1]	평지, 표면, 드넓은, 광활한
membidangkan	크게 하다, 확대[증대]하다
pembidangan	(옷감 따위를)펴서 말리는 틀
bidang [2]	[수량 사](땅·토지·천 따위를 셀 때)필지, 마, 완척classifier
	(할아버지는 시골에
	(그의 어머니는 옷을 만들기 위해 천 2마를 샀다)
bidang [3]	분야, 부문, 측면, 관점
bidar, sampan bidar	군함, 배
bidara	산대추(나무) (방향이 나며 식용, 약용으로 쓰임)
bidari	집
bidas, membidas	뚫고 나가다, 밀어 제치고 나가다
	(그의 부대는 적지 깊숙히 뚫고 나아갔다)
bidder	값을 부르는 사람, 입찰(경매)자
biding	명령, 입찰, 입후보
bidik, membidik	응시하다, 자세히 들여다보다, 겨누다
membidikkan	~을 겨누다, 조준하다
pembidik	조준기, 가늠쇠
pembidikan	겨냥, 조준
bidston, bidstond	기도하는 단체(그룹)
biduan	(남자)가수, 성악가
biduanda	의전관, 시종, 시종의 소년
biduanita	(여자)가수, 성악가
biduk	작은 배(짐과 고기류를 실어 나르는)
berbiduk	배를 타다, 배를 타러 가다
berbiduk-biduk	노를 젓다
bidur	주괴, 납 덩어리
biduri, baiduri	단백석(蛋白石), 오팔, (반투명의) 젖빛 유리
bigami	중혼(죄), 이중 결혼
bigu, biksu	승려(불교)
bihara, biara, candi	사원
bihausy, bius	기절한
bihun	(쌀로 만든)국수
bijak	유능한, 현명한, 재치 있는
kebijakan	지혜, 슬기로움, 정책
kebijakan ekonomi makro	거시적 경제정책
orang bijak	지혜 있는 자
bijaksana	현명한, 지혜로운
kebijaksanaan	슬기, 기지, 재치, 신중, 분별, 사려
kebijaksanaan pemerintah	독재권, 전제정치
tak bijaksana	근거 없는, 사실 무근의
bijan, wijen	깨
bijana, tanah bijana	출생지
biji, bija	씨앗, 종자, 점수, [수량 사]작고 둥근 물체를 쎌 때seed
berbiji	씨앗이 있는
berbiji sabak	울다, 눈물을 흘리다
biji gandum	밀알
biji jurawut	좁쌀
biji mata	눈알, 안구, 눈동자
biji-bijian	곡식, 곡류
membiji	점수를 주다, 등급을 매기다
pembiji	등급 매기기는 사람, 가격 정하는 사람
sebiji	씨앗 한 개
sebiji utuh	손상되지 않은 씨앗, 완전한 종자
bijih	광석
bijih besi	철광석
bikang	튀김과자
pembikangan	튀김 용기, 굽는 그릇
bikin	만들다, ~하게하다(memper,
bikin basah, membasahkan	젖게하다, 적시다
bikin besar, membesarkan	크게하다, 확대하다
bikin betul	수선하다, 고치다
bikinan	상품, 공작품, 제품, 모조, 위조
bikin-bikin	~한 체하다, ~같이 꾸미다, 위장하다
dibikin-bikin	억지의, 부자연한, 억지로 갖다 댄
membikin, membuat	만들다, 제작[제조]하다, 짓다
pembikin	제작자, 제조업자, 메이커
pembikinan	(대규모의) 제조, 제조(공)업
bikini	투피스의 여자 수영복, 비키니
bikir	처녀(성), 소녀
biksu, biku	승려(불교), 중
biksuni	비구니(불교)
biku [1]	가리비(부채꼴)모양의, 톱니 모양의
berbiku-biku	지그자그로 되다, 톱니 모양을 한
biku [2]	승려(불교), 중
bikulturalisme	(한 지역[나라]에) 이질적인 두 문화 병존
bila, bilamana	~할 때, 언제
bila mungkin	가능하다면
bila-bila	때때로, 종종
bila saja, kapan saja	언제든지, 아무 때라도
bilabial	[음성] 두 입술의
bilah	조각, 자루, (수량 사)칼 따위를 셀 때
tiga bilah pisau	칼 세 자루
bilai	(천·옷의) 가장자리, 옷단
membilai	길게 하다, 늘이다
bilal	회교사원의 기도시간을 알려주는 사람
bilamana	~할 때
bilamana juga	언제든지, 아무 때라도
bilang [1]	말하다
berbilang	말하다, 약간의, 몇몇의
bilangan [6]	언급, 진술, 발음
kebilangan	저명한, 걸출[탁월]한, 유명한
membilang ramal	예언하다
membilang(kan)	말하다
jangan bilang begitu	(그렇게 말하지 말라)
bilang [2], sebilang	매(每), ~마다, 세다, 셈하다
bilangan [1]	수, 양
bilangan bulat/utuh	우수리가 없는 수, 어림 수
bilangan ganjil	홀수
bilangan persepiluhan	십진산
bilangan pecahan	분수
dalam bilangan yang banyak	(대량으로)
bilangan [2], angka	숫자
bilangan satu sampai seribu	(1에서 1,000까지의 수)
bilangan [3]	지역, 영토, 영역
Ini termasuk bilangan Provinsi Kangwon	(이 곳은 강원도 지역에 속한다)
bilangan [4]	계산, 계산, 추정
bilangan [5]	운명, 숙명
	(아직 명을 다하지 않았다면 죽는 것이 쉽지는 않다)
pembilang	계산자(者), 계산기
pembilangan	계산, 집계, 개표
terbilang	~에 달하는, 저명한, ~로 간주되는
bilang0bilang	쇠비름
bilas, membilas	헹구다, 씻다
pembilasan	헹구기, 가시기, 목욕 재계
	(더러운 부분을 비빈다음 깨끗해질 때 까지 헹구시오)
bilau, kacau bilau	혼란, 난잡
bilik	대나무로 엮어 만든 것(벽면 장식용), 방
Rumanya berdinding bilik	(그 집은 대나무 벽이다)
berbilik	방을 가지고 있는, 방이 있는
berbilik-bilik	작은 방들이 많이 있는
bilik muka	건물의 앞 부부에 있는 방, 거실
bilik jantung	심실(心室)
bilion	부용(맑은 고기 수프), (세균 배양용의) 고기 국물bouillon
bilis [1]	불그레한, (눈이) 충혈된
bilis [2], ikan teri	멸치
billahi	(신에) 맹세코
Billahi saya tidak memukulnya	(맹세코 나는 그를 때리지 않았다)
bilur	회초리 상처, 채찍질 상처
berbilur-bilur	채찍질로 상처를 입다
bilyar	당구
bilyet	표, 권(券), 전표
bilyet giro (BG)	어음
bilyun	1조(兆)(의)
bimasakti	은하수
bimbang	주저하다, 걱정하다
kebimbangan	걱정, 근심, 주저, 망설임
membimbangkan	망설이게 하다, ~을 걱정하게 하다
pembimbang	사소한 일을 늘 걱정하는 사람, 소심한 사람
rasa bimbang	느낌이 불안한
bimbar	연단, 설교단
bimbing, berbimbing	(손을)맞잡고 가다, 협력하다
bimbingan	지도(력), 통솔(력), 리더십
membimbing	이끌다, 안내하다, 인도하다
pembimbing	안내자, 가이드, 선도자, 조언자, 충고자
pembimbingan	지도(력), 선도, 지휘(력), 통솔(력)
Ia berbimbing pada lengan anaknya	(그는 아이의 팔목을 잡고 갔다)
Ia berbimbing pada Kitab Injil	(그는 성경에서 길을 찾아냈다)
Ia berbimbing tangan anaknya	(그는 아이의 손을 잡고 인도했다)
bimbit, mmbimbit	(손에)들고 가다, 들다
bin	~의 아들(남식), 자식
bina [1]	건물, 건축물
membina	건축[건조·건설]하다, 설립하다
pembina	설립자, 건축업자
pembinaan	건설, 부흥, 창조, 창작
bina [2]	특별하게, 매우
binal, binal-binalan	반항적인, 억제하기 어려운, 완고한
kebinalan	불효, (규칙의) 위반, 반칙
binang	[철도] 전철수(轉轍手), 근무 중의 교통 순경
binantu	사위, 며느리
binar, berbinar-binar	빛나다, 반짝이다
binara, benara	세탁부
binaraga	보디 빌딩, 헬스
binaragawan	보디 빌더(남자)
binaragawati	보디 빌더(여자)
binasa, hancur	멸망된, 파괴된, 훼손된
kebinasaan	멸망, 파괴,파멸, 근절, 일소
membinasakan	파괴하다, 근절시키다
pembinasa	파괴자, 근절자, 파괴하는 것
pembinasaan	근절, 박멸, 몰살, 절멸
binatang	동물, 짐승, 가축
binatang buas	맹수, (인간에 대한) 짐승, 금수, 짐승 같은 놈
binatang jinak	유순한 동물
binatang kesayangan/piaraan	페트, 애완 동물
binatang melata	파충류의 동물, 파행 동물, 양서류의 동물
binatang mengerat	설치(齧齒) 동물(쥐·다람쥐 따위)
binatang menyusui	포유 동물
binatang pemakan daging	육식 동물
binatang pemamah biak	반추 동물 (되새기는)
binatang raksasa	(성서에 나오는 하마와 같은) 거수(巨獸)
binatang timangan	페트, 애완 동물
kebinatangan	수성, 야만, 잔인성, 무자비
binatu, benara, tukang cuci	세탁부
binawah	(욕설) 짐승 같은 놈
bincana, bincacau	재앙
bincang [1], berbincang	토의하다, 논의하다
berbincang-bincang	토의하다, 논의하다
mem(per)bincangkan ~	대하여 회담하다, 논의하다
perbincangan	토의, 토론, 협의
bincang [2], pincang	절름발이
bincul, bincut	혹, 종기, 부스럼, 응어리
bidam	멍이 든
bindeng	콧 소리를 내다
bindu	선반(旋盤)
membindu	선반 작업을 하다
bingar, ingar bingar	시끄러운, 떠들썩한, 법석대는
bingas	성미가 급한, 포악한
bingit	(마음이) 불편한, 맘이 편치 않은
bingka	비스켓 (과자의 일종)
bingkah, bingkahan	작은 조각, 도막, 파편
berbingkah-bingkah	조각으로 된, 파편이 된
bingkahan	덩어리, 한 조각, 혹, 종기, 부스럼, 응어리
bingkahan tanah	진흙덩이
membingkahi	조각으로 만들다, ~의 구성[조직]을 만들다
bingkai	가장자리, 테두리
bingkai jendela	창문 틀
bingkai mata	눈 언저리
bingkai roda	바퀴의 테두리
membingkai(kan)	틀을 만들다, 짜 맞추다
bingkap	정강이받이, 각반(脚絆)
bingkas	탄력(성)있는, 팽창력 있는, 굴하지 않는, 쾌활한
berbingkas, membingkas	튀어 오르다, 튀다
Ia membingkas dari duduk	(그는 자리에서 벌떡 일어났다)
bingkatak	작은 악어
bingkil, bengkel	작업소
bingkis, membingkis	선물을 주다(보내다)
bingkisan, parcel	선물, 기념품
bingung	당황되는, 혼동되는, 어리둥절하는
membingunkan	혼동하게 하다, 당황하게 만들다
Peraturan itu membingungkan	(이 규칙은 갈피를 못 잡게 한다)
kebingungan	당혹, 혼란, 곤혹, 어리둥절함
bini, istri	아내, 처
berbini	아내(처)가 있는, 아내를 얻다
berbinikan, mem(per)binikan	장가보내다, 결혼시키다
bini aji	첩, 내연의 처
bini gahara, bini yang terang	법률상의 아내
bini muda	두 번째의 아내, 첩
bini tua	첫 번째의 아내
bini yang terang	법률상의 아내
binian [1]	결혼을 원하는, 여러 번 결혼하는(남자)
